handle,status,ts
FullTimeFantasy,dm_sent,2026-07-06 12:48
farquadfantasy,skipped_bio_warns_promo_dms,2026-07-06 12:51
bob_lung,dm_sent_by_richard,2026-07-06 12:54
ChrisAllenFFWX,dm_sent,2026-07-06 12:55
themick23,dm_sent,2026-07-06 12:57
NFTandDFSCPA,dm_sent,2026-07-06 12:58
FantasyNav,dm_sent,2026-07-06 13:00
DanBrownNFL,dm_sent,2026-07-06 13:02
LG_Fantasy,dm_sent,2026-07-06 13:03
LayTheHouseRM,dm_sent,2026-07-06 13:05
aalarson,dm_sent,2026-07-06 13:07
FantasyHolics1,dm_sent,2026-07-06 13:08
KeithFlemming,dm_sent,2026-07-06 13:10
hotshotfantasy,dm_sent,2026-07-06 13:11
FFChrisB,dm_sent,2026-07-06 14:42
FFUnlimited,dm_sent,2026-07-06 14:44
benyamen,dm_sent,2026-07-06 16:48
FFGeneral_,dm_sent,2026-07-06 16:50
curtrambus,skipped_already_dmed_by_boris,2026-07-07 11:20
curtambus6go2,skipped_already_dmed_by_boris,2026-07-07 11:20
regs_84,dm_sent,2026-07-07 11:38
SportsUntrained,dm_sent,2026-07-07 12:31
stacy_perez83,dm_sent,2026-07-07 12:33
FantasyFrontman,dm_sent,2026-07-08 08:33
cplant_,dm_sent,2026-07-08 10:47
HustlersFF,dm_sent,2026-07-08 12:02
joeyt5656,dm_sent,2026-07-08 12:04
MikeSandman62,dm_sent,2026-07-08 13:22
JoeTC_Dynasty,dm_sent,2026-07-08 13:24
BreezusD,dm_sent,2026-07-08 13:26
irblack,dm_sent,2026-07-08 13:29
FF_Squirrel,dm_sent,2026-07-08 13:31
The_PizzaTurtle,dm_sent,2026-07-08 14:29
SuperpowerFFL,dm_sent,2026-07-08 14:31
cyndiqberg,dm_sent,2026-07-08 14:34
WashUpFootball,dm_sent,2026-07-08 14:36
BallsNTheGutter,dm_sent,2026-07-09 08:36
BNunezJr,dm_sent,2026-07-09 08:39
sharpsportsplug,dm_sent,2026-07-09 10:42
TheArmchairFF,dm_sent,2026-07-09 17:45
tjkmetz10,dm_sent,2026-07-09 17:46
ChrisRossi701,dm_sent,2026-07-09 17:47
ShaneParlayFF,dm_sent,2026-07-09 17:49
Aliquickk,dm_sent,2026-07-10 09:24
802Fantasy,dm_sent,2026-07-10 09:26
clemke007_FF,dm_sent,2026-07-10 09:28
Sunday_Dreamers,dm_sent,2026-07-10 09:30
FantasyFBTime,dm_sent,2026-07-10 09:32
MichaelOHaraFF,dm_sent,2026-07-11 13:21
TexasChamps,dm_skipped_existing_thread_manual,2026-07-11 13:21
kempertrull,dm_skipped_existing_thread_manual,2026-07-11 13:21
Ballerz88Troy,dm_sent,2026-07-11 13:23
trainofk,dm_sent,2026-07-11 13:25
JasonLindert,dm_sent,2026-07-11 13:27
sethhayden23,dm_sent,2026-07-11 13:29
Fantasy_Munster,dm_sent,2026-07-11 15:08
SpainWaka,dm_sent,2026-07-11 18:00
BoroFifth,dm_sent,2026-07-11 18:02
danjewett83,dm_sent,2026-07-11 18:04
fantasytaco420,dm_sent,2026-07-11 18:06
VC_Staff,dm_sent,2026-07-12 12:28
SpikeWeekTools,dm_sent,2026-07-12 12:31
ffhumanoid,dm_sent,2026-07-12 12:37
MikesDrafts,dm_sent,2026-07-12 15:29
ewachs,dm_sent,2026-07-12 15:31
bquerbes1,dm_sent,2026-07-12 15:34
DynastyBearings,dm_sent,2026-07-12 15:36
JearyFootball,dm_sent,2026-07-12 17:57
hoog_robert,dm_sent,2026-07-12 17:59
mattdcarmody,dm_sent,2026-07-12 18:01
ParkerSoSerious,dm_sent,2026-07-12 18:03
Mikey_Stapes,dm_sent,2026-07-12 18:06
SMouthBrawlers,dm_sent,2026-07-12 18:08
Fantasy_Broker,dm_sent,2026-07-12 18:10
