handle,status,ts
leatherbrainz,followed,15:40:40
FullTimeFantasy,followed,15:42:00
JohnLemonNFT,already_following,15:42:57
ffdataroma,already_following,15:42:57
farquadfantasy,followed,15:45:39
DavidZach16,followed,15:46:19
DynoGameTheory,followed,15:47:32
MetavestCapital,followed,15:47:32
IDPGodfather,followed,15:48:32
UDFootballShow,followed,15:48:32
FFPC,followed,15:49:49
MichaelSalfino,followed,15:49:49
ScottFantasy,followed,15:49:49
reneemiller01,followed,15:50:52
GeoffLambert77,followed,15:50:52
therealNFLguru,followed,15:54:58
kreation_io,skipped_nft,15:54:58
ThriveFantasy,followed,15:56:12
RotoWireNFL,followed,15:56:12
DynastyOuthouse,followed,15:57:15
ScottShap34,followed,15:57:15
NBADynastyADP,followed,15:58:29
all_biz,followed,15:58:29
Cam_Mac_Millan,followed,15:59:46
ChrisWechtFF,followed,15:59:46
NBA_TST,followed,16:01:00
bob_lung,followed,16:01:00
ChrisAllenFFWX,followed,16:02:11
Johnnyp135DFS,followed,16:02:11
TopFantasyPlays,followed,16:03:21
MasterIDP,followed,16:03:21
Tyler_Fulghum,followed,16:04:50
willson8tor,rate_limited_NOT_followed,16:04:50
willson8tor,followed,18:13:25
chwessel,followed,18:14:19
SamulskiNYC,followed,18:15:04
themick23,followed,18:15:53
NickPenticoff,followed,18:16:35
NFTandDFSCPA,followed,18:17:25
KMurrDFS,followed,18:18:12
TylerBuecher,followed,18:18:58
redkacheek,followed,18:19:52
ClubTopShot,followed,18:20:40
AllieFontana,followed,18:21:27
FantasyNav,followed,18:22:12
ScottSmithFF,followed,18:22:59
SchaufDS,followed,18:23:45
drewby417,followed,18:24:34
mremis,rate_limited_NOT_followed,18:25:50
mremis,followed,09:25:15
DynastyFFAddict,followed,10:30:23
Roto_Nino,followed,10:43:28
DanBrownNFL,followed,11:37:09
BmessDFS,followed,12:11:58
NatePolvogt,followed,13:20:51
john_hesterman,followed,14:03:20
RhinoFantasy,followed,14:45:19
TheSolverSports,followed,15:04:43
TheFantasyFive,followed,15:42:34
AllanLemDFS,followed,15:45:40
ChrisGimino,followed,15:53:01
JMoeller05,followed,17:36:22
jhalpin37,followed,17:51:38
AlexBlickle1,followed,17:58:30
DaveCabanFF,followed,18:10:45
RTFSnews,followed,18:34:36
Stagwolf,skipped_nft,18:35:26
JL_Garofalo,followed,18:36:51
PrintngPressDFS,followed,18:38:10
dj_mitchell94,followed,18:40:32
starlipernfl,followed,18:41:33
DynastyDaddyFF,followed,18:42:38
kle18,followed,18:43:41
LG_Fantasy,followed,18:44:44
CiriacoSolerFF,followed,18:45:51
MagicMikeFF,followed,18:46:54
ChrisVaccaroGST,followed,18:47:58
PeterJaguars,followed,18:49:07
AlfredJF,followed,18:50:13
ScottBondar,followed,18:51:27
KevinsDelight,followed,18:52:48
2fatguysff,followed,18:55
MackNova,followed,18:55
endgamepierre,followed,18:56
LayTheHouseRM,followed,18:56
TheFlexFootball,followed,18:57
aalarson,followed,18:57
Uncle_Bran,followed,18:57
MattFFball,followed,18:58
EmilyLefco,followed,08:51
TorresTakes,followed,08:52
kfantasy_sports,followed,08:52
FantasyHolics1,followed,08:56
AmItheRealBlair,followed,08:57
kykingpin2k,followed,08:58
RedRyder,followed,09:00
KeithFlemming,followed,09:12
nvalencia30,followed,09:13
awlsabermetrics,followed,09:14
WarriorBowl,followed,09:14
JoeyPigskins,followed,09:15
FFesq,followed,09:16
MarkStopa,followed,09:26
hotshotfantasy,followed,09:29
Roto_Wan,followed,09:30
